aweme_id,cid,create_time,text,reply_comment_total
7146900341810810139,7146918553109807899,2022-09-24,กินน้อยลง ขาดสารอาหารจ้า น๊อคเข้ารพ,257
7155163691657350405,7155380740322476806,2022-10-17,Who's gonna tell her that High Viz jacket is ultimately made from Oil?,113
7149209471833820462,7149578861365674757,2022-10-01,never understood building wooden homes in hurricane zones.,103
7145493259815603461,7146669944012374790,2022-09-23,she is 100% correct,92
7145493259815603461,7145867129648218885,2022-09-21,Climate change happens with or without Humans. The problem is we are accelerating it and the negative effects will become exponential.,92
7144330799645543685,7301692469962769158,2023-11-15,todo eso esta pasando mientras estoy cagando?,91
7145493259815603461,7145506170433880838,2022-09-20,Do I believe in a fact? No.,91
7146396688104590634,7146431532080382762,2022-09-23,"2024: ""You know, if we don't fix the environment, we will all be underwater in a few years""",89
7144330799645543685,7369253670568985350,2024-05-15,el mundo no está tan hasi,81
7145493259815603461,7146652818963137286,2022-09-23,Climate change was dreamed up by politicians for one reason money 💰,77
7153721007835008298,7159134718264460037,2022-10-27,"People are scared of nothing, a nuclear power plant is safer than an oil power plant, and we have fixed nuclear waste problem years ago",73
7153721007835008298,7153827884191253290,2022-10-13,Nuclear is the superior resource,60
7146900341810810139,7146920775839220506,2022-09-24,เราเป็นกรดไหลย้อน กระเพาะอักเสบ ลำไส้แปรปรวน คงรอให้หิวไม่ได้เลย เสียดายจัง,59
7145493259815603461,7145497803631969030,2022-09-20,"she believes but there are facts that it is true, i'm sorry",59
7146900341810810139,7146938376574468890,2022-09-24,เคยลองแล้วค่ะ ใจสั่นมือสั่น หน้ามืดจะเป็นลม ทำอะไรไม่ได้เลย,58
7146396688104590634,7146434699187127086,2022-09-23,Anyone else notice how the climate one kept happening sooner?,58
7146900341810810139,7146909881056363291,2022-09-24,เบิ่งข้างนืกว่าลุ้งพล,55
7153721007835008298,7153771360292553518,2022-10-12,Love this! If only more people were accepting of this form of safe energy.,52
7152671402192276742,7152720378066567982,2022-10-10,Thank you for this and talking so fast! My ADHD brain is happy.,52
7144330799645543685,7144333485117047557,2022-09-17,The fact the government see images like this and do nothing. 😞,51
7147939302440291627,7148012483605168938,2022-09-27,We won’t make it I just have a feeling,50
7153721007835008298,7153781341620044590,2022-10-13,"Fun fact, the blue glow is radiation moving faster than the speed of light (in water)",49
7149209471833820462,7149459754040541957,2022-10-01,the little trees are stronger than the house,49
7144330799645543685,7359740251613135622,2024-04-20,De echo ahí más árboles que seres humanos y que paises,44
7154373264914009350,7154411143427375877,2022-10-14,Off with their heads 🤣,41
